original performance,number of trades,q learning performance,number of trades,,
,,,,,
2.929564929,464498,-15.30795724,1668,,3
0.69926387,421272,154.8044615,1617,,4
8.49210175,490892,-44.65030196,2015,,5
2.874547236,468782,-12.55354633,1833,,6
0.379028452,488213,-44.43279052,1874,,7
-0.01192418,465842,53.02193219,1810,,8
-1.047672119,421973,128.5817437,1742,,9
5.259164109,466876,110.54297,1891,,10
2.988766595,422711,-47.89149967,1773,,11
-7.281343185,443745,-36.54975928,1840,,12
