original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
52.55219128178615,510,-120.22482645286703,424,157.52119784175602,239
-52.126208994339926,490,88.02450391120718,394,-721.5737116448233,214
85.79282768041708,514,-8.28986341063328,434,604.3588864008585,192
-1166.2328744283536,123,-1067.3062217018821,110,-50000,0
