original performance,number of trades,q learning performance,number of trades,,
-8.883615496,468765,-179.9675184,1946,,3
-2.393890265,423679,-63.77839177,1735,,4
-1.826931276,490830,-24.90691092,2103,,5
2.966929227,469489,-5.44017143,1870,,6
0.459386665,491371,9.396774015,2035,,7
-13.03078221,467771,-178.4804228,1863,,8
-3.357371954,424870,-10.49105348,1684,,9
-7.321297808,468637,-33.13654674,1878,,10
0.695154627,423141,10.67395352,1619,,11
4.809023886,444879,-122.8958688,1713,,12
