original performance,number of trades,q learning performance,number of trades,,
-11.09794596,468722,-27.37117636,2010,,3
-3.379086044,425000,-48.96268973,1782,,4
2.881296492,489748,114.1018271,2082,,5
-4.419916325,469644,56.45050813,1998,,6
-4.846582949,489038,-25.55020026,2236,,7
1.250425629,468340,-45.17055393,2036,,8
3.068409718,423520,-45.74924863,1279,,
