original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
-408.41818272267545,611,-691.1559071380821,298,-404.6126721580749,533
-8.896393056116798,522,-562.3438179709694,88,-32.30621665765431,484
-1248.6530174842248,104,-1202.7514313998288,73,-50000,0
