2497,2012-03-01,09:19:00,1
973,2012-03-01,09:19:00,1
3373,2012-03-01,09:19:00,1
3187,2012-03-01,09:19:00,1
4877,2012-03-01,09:19:00,1
3413,2012-03-01,09:19:00,1
2568,2012-03-01,09:19:00,1
2458,2012-03-01,09:19:00,1
3958,2012-03-01,09:19:00,1
3355,2012-03-01,09:19:00,1
3694,2012-03-01,09:19:00,1
99,2012-03-01,09:19:00,1
3127,2012-03-01,09:19:00,1
2364,2012-03-01,09:19:00,1
2507,2012-03-01,09:19:00,1
3588,2012-03-01,09:19:00,1
1919,2012-03-01,09:19:00,1
4893,2012-03-01,09:19:00,1
4761,2012-03-01,09:19:00,1
2837,2012-03-01,09:19:00,1
135,2012-03-01,09:19:00,1
2541,2012-03-01,09:19:00,1
2343,2012-03-01,09:19:00,1
1802,2012-03-01,09:19:00,1
3402,2012-03-01,09:19:00,1
3072,2012-03-01,09:19:00,1
4623,2012-03-01,09:19:00,1
583,2012-03-01,09:19:00,1
4309,2012-03-01,09:34:00,1
4443,2012-03-01,10:00:00,1
881,2012-03-01,10:06:00,1
293,2012-03-01,10:13:00,1
3945,2012-03-01,10:20:00,1
3136,2012-03-01,10:27:00,1
2497,2012-03-01,10:30:00,2
3187,2012-03-01,10:30:00,2
3413,2012-03-01,10:30:00,2
2568,2012-03-01,10:30:00,2
3694,2012-03-01,10:30:00,2
2364,2012-03-01,10:30:00,2
2507,2012-03-01,10:30:00,2
1919,2012-03-01,10:30:00,2
4893,2012-03-01,10:30:00,2
4761,2012-03-01,10:30:00,2
2837,2012-03-01,10:30:00,2
2343,2012-03-01,10:30:00,2
3402,2012-03-01,10:30:00,2
3072,2012-03-01,10:30:00,2
4623,2012-03-01,10:30:00,2
583,2012-03-01,10:30:00,2
4443,2012-03-01,10:30:00,2
3945,2012-03-01,10:30:00,2
3136,2012-03-01,10:30:00,2
973,2012-03-01,10:30:00,1
3373,2012-03-01,10:30:00,1
4877,2012-03-01,10:30:00,1
2458,2012-03-01,10:30:00,1
3958,2012-03-01,10:30:00,1
3355,2012-03-01,10:30:00,1
99,2012-03-01,10:30:00,1
3127,2012-03-01,10:30:00,1
3588,2012-03-01,10:30:00,1
135,2012-03-01,10:30:00,1
2541,2012-03-01,10:30:00,1
1802,2012-03-01,10:30:00,1
4309,2012-03-01,10:30:00,1
881,2012-03-01,10:30:00,1
293,2012-03-01,10:30:00,1
2833,2012-03-01,10:32:00,1
4820,2012-03-01,10:40:00,1
2900,2012-03-01,10:51:00,1
1309,2012-03-01,10:57:00,1
3626,2012-03-01,11:01:00,1
1241,2012-03-01,11:02:00,1
332,2012-03-01,11:11:00,1
3373,2012-03-01,11:30:00,2
4877,2012-03-01,11:30:00,2
2458,2012-03-01,11:30:00,2
3958,2012-03-01,11:30:00,2
3355,2012-03-01,11:30:00,2
99,2012-03-01,11:30:00,2
135,2012-03-01,11:30:00,2
2541,2012-03-01,11:30:00,2
1802,2012-03-01,11:30:00,2
4623,2012-03-01,11:30:00,2
4309,2012-03-01,11:30:00,2
3945,2012-03-01,11:30:00,2
3136,2012-03-01,11:30:00,2
2833,2012-03-01,11:30:00,2
2900,2012-03-01,11:30:00,2
332,2012-03-01,11:30:00,2
2497,2012-03-01,11:30:00,1
3187,2012-03-01,11:30:00,1
3413,2012-03-01,11:30:00,1
2568,2012-03-01,11:30:00,1
