0,653
1,3596
2,3150
3,3847
4,2828
5,3333
6,3723
7,1398
8,2548
9,3776
10,2057
11,4848
12,1943
13,2494
14,3627
15,2062
16,1708
17,2376
18,1841
19,2420
20,3360
21,2239
22,4908
23,2529
24,4213
25,247
26,4126
27,768
28,3752
29,222
30,3143
31,1482
32,4277
33,973
34,932
35,4079
36,2395
37,4631
38,2253
39,4345
40,4037
41,3273
42,2933
43,2152
44,1344
45,1548
46,3562
47,929
48,2375
49,4106
50,3407
51,2821
52,2438
53,1075
54,2021
55,3001
56,1217
57,4679
58,1564
59,4756
60,1723
61,1547
62,4546
63,3757
64,2372
65,802
66,3136
67,349
68,4721
69,3469
70,3041
71,2411
72,984
73,3762
74,2852
75,4558
76,2080
77,1783
78,4271
79,2497
80,3806
81,245
82,2207
83,2127
84,2624
85,2968
86,4100
87,4125
88,3658
89,2160
90,3994
91,618
92,4871
93,4715
94,80
95,2455
96,2099
97,3993
98,4882
99,602
100,2452
101,987
102,3771
103,3744
104,2965
105,2925
106,3917
107,683
108,4477
109,198
110,4663
111,2467
112,2643
113,154
114,751
115,3239
116,3248
117,3229
118,3166
119,2651
120,4718
121,3566
122,2983
123,2869
124,772
125,4549
126,3321
127,4108
128,4212
129,2578
130,1660
131,1350
132,935
133,1781
134,2579
135,1755
136,749
137,4067
138,1531
139,161
140,2472
141,2260
142,4209
143,1377
144,3406
145,1570
146,701
147,4524
148,3852
149,3187
150,1261
151,2779
152,1179
153,186
154,135
155,2881
156,1859
157,497
158,4451
159,789
160,2692
161,2844
162,376
163,3580
164,887
165,3636
166,3893
167,156
168,291
169,3441
170,1637
171,144
172,2498
173,1139
174,3354
175,431
176,2702
177,504
178,911
179,1821
180,3548
181,787
182,3748
183,2632
184,2790
185,3924
186,2540
187,3185
188,4295
189,1565
190,4952
191,803
192,955
193,1329
194,3085
195,603
196,4918
197,2557
198,3025
199,481
200,1394
201,2683
202,1989
203,3042
204,3589
205,2699
206,1543
207,4688
208,2971
209,1753
210,4181
211,3908
212,223
213,3826
214,3482
215,4333
216,4681
217,3080
218,402
219,3245
220,4278
221,4228
222,4807
223,214
224,160
225,4077
226,647
227,4716
228,3618
229,372
230,4110
231,4178
232,669
233,3541
234,1534
235,4045
236,3516
237,3737
238,2820
239,2
240,258
241,3863
242,2973
243,169
244,2912
245,1354
246,2373
247,1441
248,4846
249,4881
250,3883
251,3464
252,4567
253,2564
254,3588
255,2897
256,1400
257,2359
258,4767
259,1353
260,3855
261,4450
262,593
263,270
264,3159
265,4657
266,4610
267,1712
268,1085
269,3146
270,56
271,928
272,3520
273,2772
274,3753
275,2256
276,4248
277,631
278,765
279,2014
280,2236
281,3901
282,3336
283,1221
284,3866
285,3685
286,1442
287,1654
288,1426
289,2661
290,4144
291,1879
292,3946
293,8
294,158
295,2368
296,2789
297,989
298,4177
299,3285
300,45
301,1069
302,1135
303,81
304,4948
305,600
306,1316
307,1152
308,2647
309,3652
310,113
311,1475
312,1582
313,32
314,1028
315,126
316,746
317,4214
318,4398
319,1921
320,2941
321,1431
322,4343
323,4091
324,2500
325,4777
326,1479
327,3346
328,3014
329,4578
330,3944
331,2919
332,36
333,3608
334,3233
335,1104
336,965
337,2797
338,684
339,2164
340,2576
341,2628
342,2431
343,4476
344,1974
345,969
346,232
347,2708
348,1577
349,163
350,1808
351,1315
352,1474
353,3632
354,4325
355,4826
356,1845
357,1745
358,2788
359,2731
360,1789
361,2992
362,819
363,1705
364,2008
365,587
366,2465
367,1320
368,3327
369,944
370,3503
371,1191
372,2297
373,926
374,3671
375,152
376,1438
377,4017
378,289
379,4399
380,3003
381,682
382,4256
383,4538
384,2896
385,910
386,308
387,1288
388,1676
389,1364
390,4227
391,2269
392,1218
393,3126
394,1148
395,2602
396,4488
397,3876
398,4039
399,4065
400,4056
401,4862
402,2392
403,2710
404,1013
405,2945
406,4534
407,44
408,3832
409,2769
410,3677
411,1116
412,3297
413,3453
414,2688
415,3458
416,4833
417,4241
418,1560
419,196
420,2673
421,1589
422,4590
423,2385
424,2975
425,3880
426,690
427,2773
428,2138
429,1687
430,2672
431,3984
432,4416
433,304
434,4962
435,107
436,1598
437,2994
438,4192
439,2910
440,4745
441,2903
442,3315
443,3491
444,2390
445,1688
446,4533
447,1529
448,597
449,866
450,1961
451,4165
452,3703
453,421
454,4460
455,2469
456,1659
457,1693
458,4038
459,4699
460,3101
461,2454
462,995
463,1247
464,4486
465,2037
466,1760
467,3579
468,4425
469,755
470,2824
471,611
472,3306
473,3463
474,1997
475,1347
476,735
477,3683
478,4187
479,4613
480,4194
481,188
482,1954
483,3338
484,1876
485,2574
486,3264
487,3659
488,1571
489,2625
490,590
491,2398
492,1296
493,1458
494,2058
495,715
496,2215
497,4348
498,40
499,1916
500,4623
501,2424
502,1784
503,4467
504,127
505,734
506,3666
507,3091
508,4000
509,4062
510,1016
511,3556
512,785
