original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1139.956942000479,106,1050.3847243512264,122
1359.6825206667877,129,1524.5812773527923,81,1359.6825206667877,129
-365.3635470398471,117,-433.54864307160074,94,-365.3635470398471,117
1019.2408951739876,98,992.6769162132626,63,1019.2408951739876,98
3756.8691945177443,141,3983.3022648073593,106,3784.125300162179,140
617.5180292412787,101,365.9736374798943,85,551.6572909545898,100
-1658.5212297712053,35,-1835.5364874478043,29,-50000,0
