original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1112.2345645870782,113,1050.3847243512264,122
1359.6825206667877,129,1259.5413389463683,111,1359.6825206667877,129
-365.3635470398471,117,-462.73399117066685,97,-365.3635470398471,117
1019.2408951739876,98,1214.1834873508762,74,1019.2408951739876,98
3756.8691945177443,141,3841.2994541136686,121,3784.125300162179,140
617.5180292412787,101,523.2547225952148,92,551.6572909545898,100
-1658.5212297712053,35,-2583.468678401067,26,-50000,0
