original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1208.7028805793973,109,1050.3847243512264,122
1359.6825206667877,129,1449.5026865005493,96,1359.6825206667877,129
-365.3635470398471,117,-365.593749036287,95,-365.3635470398471,117
1019.2408951739876,98,1207.438811096964,79,1019.2408951739876,98
3756.8691945177443,141,3829.750493099815,114,3784.125300162179,140
617.5180292412787,101,264.3069908835671,88,551.6572909545898,100
-1658.5212297712053,35,-2383.608147757394,28,-50000,0
