original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1245.9965933035087,111,1050.3847243512264,122
1359.6825206667877,129,1189.7470437146108,109,1359.6825206667877,129
-365.3635470398471,117,-310.2994931243187,86,-365.3635470398471,117
1019.2408951739876,98,1153.1902854225852,77,1019.2408951739876,98
3756.8691945177443,141,3856.8519437020286,114,3784.125300162179,140
617.5180292412787,101,213.7358899797712,84,551.6572909545898,100
-1658.5212297712053,35,-2450.064421335856,24,-50000,0
