original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
347.17751435775233,437,548.4177822957512,393,479.3610574408304,407
-98.46635044922012,449,-229.84720775998872,319,-48.29615710965163,417
-2972.641052597935,103,-2782.330325677361,71,-50000,0
