original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
347.17751435775233,437,501.8703831199586,381,479.3610574408304,407
-98.46635044922012,449,-503.46856050057846,264,-48.29615710965163,417
-2972.641052597935,103,-2473.0007932880258,79,-50000,0
