original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
210.30624505464672,527,317.26495262576043,479,-1162.0559271240234,225
-338.48053338045537,539,-520.8139862060547,505,175.2825773825377,231
-1211.2530299987793,500,-862.0471640692817,450,-501.24459132742373,188
-1319.7300462292087,155,-1148.5798879255328,114,-50000,0
