original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
6.424967113706366,487,-20.64586759868421,342,-11.415017264229911,448
2119.4631357540484,494,2011.047864136266,233,1925.2769415045766,437
-185.3257677801724,145,-196.0556332236842,95,-50000,0
