original performance,number of trades,q learning performance,number of trades
,,,
4.711370536,465225,-112.3280873,1741
3.127028936,421493,-1.862306444,1477
0.893745428,489921,-111.1140209,1930
-3.942470524,465492,-58.3311992,1579
-5.603537847,486336,-90.86611802,1634
-4.36438864,467925,-33.11691742,1648
-7.838300671,423863,88.81475597,1586
-10.21274309,468492,-24.58335652,1731
-4.864478107,423261,-75.28393639,1590
-2.050429076,444946,31.59890942,1646
