original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
-344.0924097450034,515,-907.7379924632885,351,-563.6101549778849,463
-1165.7632280014852,524,-1374.2748467517874,171,-894.5873271860975,470
-1319.7300462292087,155,-1690.433614690253,94,-50000,0
