original performance,number of trades,q learning performance,number of trades
4.711370536,465225,-149.8649667,1761
3.127028936,421493,24.01281365,1457
0.893745428,489921,-98.78255832,1915
-3.942470524,465492,-52.64651524,1597
-5.603537847,486336,-117.8442362,1637
-4.36438864,467925,15.65832942,1633
-7.838300671,423863,64.9514363,1586
-10.21274309,468492,-50.90104283,1729
-4.864478107,423261,-95.18615784,1605
-2.050429076,444946,29.24145839,1650
