original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
-71.82889153257457,637,71.62820678710938,400,-96.65055039349724,272
-196.96856821183678,556,445.752432686942,280,-510.43287090226715,255
-53.22234354616342,527,-146.811806640625,250,-205.87334467290523,182
-1502.7281388647762,162,-1552.237026782746,94,-50000,0
