original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
384.62500461485325,205,387.7550762423235,201,421.2860615040996,202
2506.5096548897877,245,2440.0695981174044,225,2422.910198642619,239
-1361.6885623572007,53,-1424.3360009286919,51,-50000,0
