original performance,number of trades,q learning performance,number of trades
-9.864844256,467734,57.26971626,2015
-8.145814561,424193,-178.1255137,1804
6.601848558,489101,-73.68886891,2025
0.849798684,468697,140.6212387,1970
4.830872919,490851,-32.91051366,2121
1.905422887,470187,26.57683096,1935
-2.391300625,423876,228.1815952,1080
