original performance,number of trades,q learning performance,number of trades,,
-11.09794596,468722,-37.19591242,2002,,3
-3.379086044,425000,-32.4442516,1779,,4
2.881296492,489748,135.0528827,2129,,5
-4.419916325,469644,37.59565985,2027,,6
-4.846582949,489038,-22.90654803,2237,,7
1.250425629,468340,-38.34027706,2077,,8
3.068409718,423520,-71.4516128,1845,,9
-9.805331282,468014,68.78347701,2045,,10
2.061862593,424299,-4.547472742,1826,,11
-0.946325,447184,-2.500860765,1946,,12
