original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
210.30624505464672,527,777.0838426520063,382,-1162.0559271240234,225
-338.48053338045537,539,-1644.6589605320266,171,159.62191158146052,231
-1211.2530299987793,500,-874.9110870361328,263,-501.24459132742373,188
-1319.7300462292087,155,-2153.696127139821,85,-50000,0
