original performance,number of trades,q learning performance,number of trades,,
2.929564929,464498,-13.51736044,1676,,3
0.69926387,421272,109.4117719,1582,,4
8.49210175,490892,-41.38021315,2013,,5
2.874547236,468782,-46.53718936,1815,,6
0.379028452,488213,-29.18737808,1877,,7
-0.01192418,465842,31.09584849,1829,,8
