q learning performance,number of trades
52.95081870187531,2013
-171.51971211502365,1798
-76.64697178259772,2026
131.00326075135362,1971
-23.975475381621234,2115
20.286619770323792,1937
93.5925397851779,1804
-107.24293700566066,2015
89.44095448494981,1862
-30.023638754479922,1927
