original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
210.30624505464672,527,443.07772006285165,461,-1039.208342066351,212
-338.48053338045537,539,-554.6300443156382,445,187.87068643655863,222
-1211.2530299987793,500,-1005.5343689832268,387,-390.24475225523196,179
-1319.7300462292087,155,-938.8860842146963,106,-50000,0
