original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
-344.0924097450034,515,-563.6101549778849,463,-563.6101549778849,463
-1165.7632280014852,524,-801.4121399260404,456,-894.5873271860975,470
-1319.7300462292087,155,-1131.0079751670908,109,-50000,0
