original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
-72.06104708537204,582,24.376614325265223,447,-1036.446396558274,223
676.8582560221354,621,745.7302636584203,499,1618.9295209877391,263
2147.3732711704633,524,2151.869150480307,473,687.8750637902153,216
-2704.638986160506,67,-2506.2189331054688,51,-50000,0
