original performance,number of trades,q learning performance,number of trades
-11.09794596,468722,-36.73260225,2003
-3.379086044,425000,-32.4442516,1779
2.881296492,489748,136.966373,2123
-4.419916325,469644,45.04312283,2044
-4.846582949,489038,-22.90654803,2237
1.250425629,468340,-39.3864763,2079
3.068409718,423520,-70.38245757,1845
-9.805331282,468014,68.78347701,2045
2.061862593,424299,-15.5803149,1835
-0.946325,447184,-0.71446604,1948
