original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,968.762671661377,120,968.762671661377,120
1359.6825206667877,129,1397.3784873046875,125,1397.3784873046875,125
-365.3635470398471,117,-275.44240457286,115,-275.44240457286,115
1019.2408951739876,98,1067.3431972228375,97,1019.2408951739876,98
3756.8691945177443,141,3588.232764400653,134,3690.4619140625,136
617.5180292412787,101,446.43822877303415,92,571.0101962965362,98
-1658.5212297712053,35,-1769.151710061466,34,-50000,0
