original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,968.762671661377,120,968.762671661377,120
1359.6825206667877,129,1397.3784873046875,125,1397.3784873046875,125
-365.3635470398471,117,-275.44240457286,115,-275.44240457286,115
1019.2408951739876,98,1019.2408951739876,98,1019.2408951739876,98
3756.8691945177443,141,3715.689971250646,136,3715.689971250646,136
617.5180292412787,101,589.6302003860474,96,571.0101962965362,98
-1658.5212297712053,35,-2056.102338663737,30,-50000,0
