original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,942.7607905501026,118,968.762671661377,120
1359.6825206667877,129,1133.4072357947084,119,1397.3784873046875,125
-365.3635470398471,117,-344.10069002423967,112,-275.44240457286,115
1019.2408951739876,98,1015.1875769297282,96,1019.2408951739876,98
3756.8691945177443,141,3675.2345069146927,124,3690.4619140625,136
617.5180292412787,101,632.6982697831824,94,571.0101962965362,98
-1658.5212297712053,35,-1919.1990061442057,30,-50000,0
