original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,968.762671661377,120,968.762671661377,120
1359.6825206667877,129,1363.3134990093138,121,1397.3784873046875,125
-365.3635470398471,117,-208.5568788860916,109,-275.44240457286,115
1019.2408951739876,98,1002.4014790852865,96,1019.2408951739876,98
3756.8691945177443,141,3847.1831372473853,121,3690.4619140625,136
617.5180292412787,101,649.2711138981645,93,571.0101962965362,98
-1658.5212297712053,35,-2026.6446917133946,31,-50000,0
