original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,521.5450089066117,81,968.762671661377,120
1359.6825206667877,129,1438.7194531758626,48,1397.3784873046875,125
-365.3635470398471,117,-419.9960144042969,70,-275.44240457286,115
1019.2408951739876,98,1105.489481608073,45,1019.2408951739876,98
3756.8691945177443,141,3634.655575331821,93,3690.4619140625,136
617.5180292412787,101,164.0351537068685,60,571.0101962965362,98
-1658.5212297712053,35,-2514.4666268484934,21,-50000,0
