original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,951.8311139620267,104,1050.3847243512264,122
1359.6825206667877,129,1308.6291291442099,79,1359.6825206667877,129
-365.3635470398471,117,-523.4814824643342,92,-365.3635470398471,117
1019.2408951739876,98,1010.0240531800285,63,1019.2408951739876,98
3756.8691945177443,141,3808.75709397722,101,3784.125300162179,140
617.5180292412787,101,141.49954600393036,81,551.6572909545898,100
-1658.5212297712053,35,-2362.939904785156,25,-50000,0
