original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,942.7607905501026,118,968.762671661377,120
1359.6825206667877,129,1403.8266852883733,119,1397.3784873046875,125
-365.3635470398471,117,-386.8161397661482,112,-275.44240457286,115
1019.2408951739876,98,987.012290318807,96,1019.2408951739876,98
3756.8691945177443,141,3763.359822667631,133,3690.4619140625,136
617.5180292412787,101,643.3082020518544,91,571.0101962965362,98
-1658.5212297712053,35,-1873.0398679791074,33,-50000,0
