original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,942.7607905501026,118,968.762671661377,120
1359.6825206667877,129,1403.8266852883733,119,1397.3784873046875,125
-365.3635470398471,117,-345.86372091917866,113,-275.44240457286,115
1019.2408951739876,98,1019.2408951739876,98,1019.2408951739876,98
3756.8691945177443,141,3778.133847951889,128,3690.4619140625,136
617.5180292412787,101,535.0289447985198,95,571.0101962965362,98
-1658.5212297712053,35,-2170.541840616862,30,-50000,0
