original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,942.7607905501026,118,968.762671661377,120
1359.6825206667877,129,1133.4072357947084,119,1397.3784873046875,125
-365.3635470398471,117,-303.5262840068446,113,-275.44240457286,115
1019.2408951739876,98,955.9236456487597,97,1019.2408951739876,98
3756.8691945177443,141,3665.5122260460485,130,3690.4619140625,136
617.5180292412787,101,728.3336017315204,91,571.0101962965362,98
-1658.5212297712053,35,-1803.7681510679183,31,-50000,0
