original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1153.4117322649274,112,1050.3847243512264,122
1359.6825206667877,129,950.7403766952942,107,1359.6825206667877,129
-365.3635470398471,117,-348.90892828078495,84,-365.3635470398471,117
1019.2408951739876,98,1196.9802554991188,82,1019.2408951739876,98
3756.8691945177443,141,3751.7357353999696,116,3784.125300162179,140
617.5180292412787,101,325.685135234486,88,551.6572909545898,100
-1658.5212297712053,35,-2642.593678401067,26,-50000,0
