original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1139.956942000479,106,1050.3847243512264,122
1359.6825206667877,129,1366.5564782278877,84,1359.6825206667877,129
-365.3635470398471,117,-486.5787607828776,90,-365.3635470398471,117
1019.2408951739876,98,1160.2978095382941,61,1019.2408951739876,98
3756.8691945177443,141,3880.7528003757284,118,3784.125300162179,140
617.5180292412787,101,152.08680242224585,79,551.6572909545898,100
-1658.5212297712053,35,-2530.527296702067,24,-50000,0
