original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1050.3847243512264,122,1050.3847243512264,122
1359.6825206667877,129,1359.6825206667877,129,1359.6825206667877,129
-365.3635470398471,117,-365.3635470398471,117,-365.3635470398471,117
1019.2408951739876,98,1067.3431972228375,97,1019.2408951739876,98
3756.8691945177443,141,3709.950517442491,135,3784.125300162179,140
617.5180292412787,101,704.1407270534064,93,551.6572909545898,100
-1658.5212297712053,35,-1789.8155406605113,33,-50000,0
