original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1139.956942000479,106,1050.3847243512264,122
1359.6825206667877,129,1234.8053257639815,82,1359.6825206667877,129
-365.3635470398471,117,-575.8363030402215,91,-365.3635470398471,117
1019.2408951739876,98,920.2828373908997,64,1019.2408951739876,98
3756.8691945177443,141,3941.4070904071514,104,3784.125300162179,140
617.5180292412787,101,514.5605499653876,79,551.6572909545898,100
-1658.5212297712053,35,-2530.527296702067,24,-50000,0
