original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,968.762671661377,120,968.762671661377,120
1359.6825206667877,129,1151.3254279128644,119,1397.3784873046875,125
-365.3635470398471,117,-279.2084958058483,106,-275.44240457286,115
1019.2408951739876,98,1212.1665055124383,95,1019.2408951739876,98
3756.8691945177443,141,3564.4617559714397,122,3690.4619140625,136
617.5180292412787,101,547.0752764762716,94,571.0101962965362,98
-1658.5212297712053,35,-1894.4625120162964,32,-50000,0
