original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1026.1765754699707,120,1050.3847243512264,122
1359.6825206667877,129,1102.4568724593496,123,1359.6825206667877,129
-365.3635470398471,117,-435.1836470219127,114,-365.3635470398471,117
1019.2408951739876,98,1078.5466132409795,97,1019.2408951739876,98
3756.8691945177443,141,3706.7244688574947,134,3784.125300162179,140
617.5180292412787,101,603.1234501925381,88,551.6572909545898,100
-1658.5212297712053,35,-1809.517994181315,30,-50000,0
