original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,626.4469946884527,82,968.762671661377,120
1359.6825206667877,129,1231.0900501598012,55,1397.3784873046875,125
-365.3635470398471,117,-476.0602279663086,80,-275.44240457286,115
1019.2408951739876,98,1255.6985954871545,52,1019.2408951739876,98
3756.8691945177443,141,3922.736448400161,119,3690.4619140625,136
617.5180292412787,101,393.02967270106484,73,571.0101962965362,98
-1658.5212297712053,35,-2630.854368730025,22,-50000,0
