original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,968.762671661377,120,968.762671661377,120
1359.6825206667877,129,1140.651816813151,120,1397.3784873046875,125
-365.3635470398471,117,-236.965358555874,107,-275.44240457286,115
1019.2408951739876,98,1212.1665055124383,95,1019.2408951739876,98
3756.8691945177443,141,3676.6129755819998,124,3690.4619140625,136
617.5180292412787,101,547.0752764762716,94,571.0101962965362,98
-1658.5212297712053,35,-1873.0398679791074,33,-50000,0
