original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1139.956942000479,106,1050.3847243512264,122
1359.6825206667877,129,1376.359171425424,82,1359.6825206667877,129
-365.3635470398471,117,-397.197696685791,96,-365.3635470398471,117
1019.2408951739876,98,985.4269734366995,61,1019.2408951739876,98
3756.8691945177443,141,3748.7893262806506,101,3784.125300162179,140
617.5180292412787,101,424.74863203181775,86,551.6572909545898,100
-1658.5212297712053,35,-2583.468678401067,26,-50000,0
