original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1237.7042256673178,105,1050.3847243512264,122
1359.6825206667877,129,1346.5451104956937,83,1359.6825206667877,129
-365.3635470398471,117,-483.81053374915996,93,-365.3635470398471,117
1019.2408951739876,98,992.6769162132626,63,1019.2408951739876,98
3756.8691945177443,141,3812.814826311384,105,3784.125300162179,140
617.5180292412787,101,388.5873271397182,84,551.6572909545898,100
-1658.5212297712053,35,-2530.527296702067,24,-50000,0
