original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1153.4117322649274,112,1050.3847243512264,122
1359.6825206667877,129,987.8654448311283,106,1359.6825206667877,129
-365.3635470398471,117,-222.64717084099266,85,-365.3635470398471,117
1019.2408951739876,98,1268.8360849403473,83,1019.2408951739876,98
3756.8691945177443,141,3758.180220045485,111,3784.125300162179,140
617.5180292412787,101,137.35966692472758,76,551.6572909545898,100
-1658.5212297712053,35,-2503.1107005243716,23,-50000,0
