original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,942.7607905501026,118,968.762671661377,120
1359.6825206667877,129,1345.6914753559206,121,1397.3784873046875,125
-365.3635470398471,117,-275.44240457286,115,-275.44240457286,115
1019.2408951739876,98,1110.9125804901123,96,1019.2408951739876,98
3756.8691945177443,141,3602.8237221240997,128,3715.689971250646,136
617.5180292412787,101,486.39230476541724,94,571.0101962965362,98
-1658.5212297712053,35,-1786.2188750236264,31,-50000,0
