original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1094.7738942113415,116,1050.3847243512264,122
1359.6825206667877,129,1258.1968183673796,122,1359.6825206667877,129
-365.3635470398471,117,-365.3635470398471,117,-365.3635470398471,117
1019.2408951739876,98,1127.7677488327026,96,1019.2408951739876,98
3756.8691945177443,141,3581.304009105541,135,3784.125300162179,140
617.5180292412787,101,508.7889493691801,99,551.6572909545898,100
-1658.5212297712053,35,-1697.625236265121,31,-50000,0
