original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,968.79699480041,121,1050.3847243512264,122
1359.6825206667877,129,1260.4019742012024,128,1359.6825206667877,129
-365.3635470398471,117,-233.60738352547705,113,-365.3635470398471,117
1019.2408951739876,98,1067.3431972228375,97,1019.2408951739876,98
3756.8691945177443,141,3748.249619427849,136,3784.125300162179,140
617.5180292412787,101,467.9959011077881,96,551.6572909545898,100
-1658.5212297712053,35,-1697.625236265121,31,-50000,0
