original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1026.1765754699707,120,1050.3847243512264,122
1359.6825206667877,129,1308.4432221679688,125,1359.6825206667877,129
-365.3635470398471,117,-365.3635470398471,117,-365.3635470398471,117
1019.2408951739876,98,1019.2408951739876,98,1019.2408951739876,98
3756.8691945177443,141,3591.4802113009573,133,3784.125300162179,140
617.5180292412787,101,566.4071245289812,99,551.6572909545898,100
-1658.5212297712053,35,-1774.6621416877297,34,-50000,0
