original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1050.3847243512264,122,1153.4117322649274,112,1050.3847243512264,122
1359.6825206667877,129,1243.1338223544035,110,1359.6825206667877,129
-365.3635470398471,117,-400.86577185805965,98,-365.3635470398471,117
1019.2408951739876,98,1207.438811096964,79,1019.2408951739876,98
3756.8691945177443,141,3681.7968119683665,107,3784.125300162179,140
617.5180292412787,101,102.22386599809695,78,551.6572909545898,100
-1658.5212297712053,35,-2399.7078411395732,26,-50000,0
