original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
963.2028930367775,515,753.2082956660261,281,804.1623113383417,460
1145.6486915406726,420,624.8962046536533,110,1259.7741100604717,390
-1103.5357406673147,134,-486.6622324775247,85,-50000,0
