original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
52.258655785167285,531,78.41939778645833,375,50.22821541719659,473
4054.5445800577118,598,4092.2113681102364,254,3862.1617627908254,524
-2228.3055336281104,135,-2234.5852010538288,91,-50000,0
