original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
-7.089195308,468973,1.230720358,1931,78.17267604,2138
-1.502170712,446129,-1.591772798,1810,33.11654035,2196
-2.801625645,468169,164.4189985,2128,82.24358529,2156
6.495195017,514920,75.27340566,2287,-56.38512558,2241
-4.440683135,468639,11.59144033,2058,-6.584979614,2152
-11.41736612,467915,-97.80169685,2009,-164.5896649,2285
-3.242211243,447252,-107.6726894,1873,-34.75675477,1974
-6.106634128,468796,-22.96026272,1995,109.1671664,98
