original performance,number of trades,q learning performance,number of trades,q learning training performance,number of trades
1141.4591292063394,240,1060.2698753486245,236,1235.620802022643,118
174.9220970610869,217,175.60908858136432,205,106.3176739032452,104
2811.0939756729063,233,2963.8641833384104,218,1121.7900615018957,102
-1361.6885623572007,53,-1535.3260614922706,47,-50000,0
